Term,equivalence_class,Bain Marie,Baking,Basting,Blanching,Boiling,Clay Pot,Cockaigne,Deep Frying,Deglazing,Frying,Grilling,Poaching,Pressure Cooking,Roasting,Sauteing,Scalding,Shirring,Simmering,Smoking,Sous Vide,Steaming,Stewing,Stir Frying,Tempering,Bain Marie,Baking,Basting,Blanching,Boiling,Clay Pot,Cockaigne,Deep Frying,Deglazing,Frying,Grilling,Poaching,Pressure Cooking,Roasting,Sauteing,Scalding,Shirring,Simmering,Smoking,Sous Vide,Steaming,Stewing,Stir Frying,Tempering
,,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Occurrence,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count,Word count
aromatics,aromatics,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
arrowroot,arrowroot,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artichoke,artichoke,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
aspect,aspect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
attach,attach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
attributes,attributes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bacon,bacon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bacterium,bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bag,bag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bain-marie,bain-marie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
