,equivalence_class,Occurrence,Word count,total_docs
255,deep-fat,1,1,1
256,deep-frying,2,2,2
257,deep-frying parsley,1,2,1
258,deglaze,4,4,4
259,degree,3,2,2
260,delicate foods,1,2,1
261,demi-glace,1,1,1
262,denim,1,1,1
263,denser,1,1,1
264,detergents,1,1,1
265,device,2,2,2
266,diet,1,1,1
267,difference,1,1,1
268,different,1,1,1
269,dill,1,1,1
270,dipping sauce,1,2,1
271,directions,1,1,1
272,disaster,1,1,1
273,discard,1,1,1
274,discolour,1,1,1
275,dish,8,4,4
276,disposal,2,1,1
277,dispose,1,1,1
278,distance,3,1,1
279,distribution,1,1,1
280,doing,1,1,1
281,dolbier,1,1,1
282,don,1,1,1
283,doneness,2,2,2
284,door,1,1,1
285,double-boiler,1,1,1
286,double-sided frying,1,2,1
287,double-walled oven pot,1,3,1
288,dough,1,1,1
289,drain,1,1,1
290,drawer,1,1,1
291,dress,1,1,1
292,drier,1,1,1
293,drink alcohol,1,2,1
294,drinks,1,1,1
295,drinks-wise,1,1,1
296,drip,1,1,1
297,drippings,1,1,1
298,drizzle,2,2,2
299,drop,2,2,2
300,dry,1,1,1
301,dry food,1,2,1
302,dumplings,1,1,1
303,east asia,1,2,1
304,economy,1,1,1
305,edge,3,3,3
306,edges,1,1,1
307,eel,1,1,1
308,effect,8,7,7
309,effects boiling,1,2,1
310,effort,1,1,1
311,efforts,1,1,1
312,egg,14,7,7
313,egg beater,1,2,1
314,egg protein,1,2,1
315,egg roll recipe,1,3,1
316,egg rolls,1,2,1
317,egg wash,2,4,2
318,elbows,1,1,1
319,element,3,3,3
320,ember fire,1,2,1
321,empanadas,1,1,1
322,end,9,7,7
323,end product,1,2,1
324,end restaurants,1,2,1
325,energy,2,1,1
326,english equivalent,1,2,1
327,environment,1,1,1
328,enzyme action,2,4,2
329,enzymes,1,1,1
330,europe,1,1,1
331,european ovens,1,2,1
332,evaporation,5,3,3
333,event,1,1,1
334,everything,1,1,1
335,example,5,5,5
336,example recipes,1,2,1
337,experience,2,2,2
338,extinguisher,2,1,1
339,extracts,1,1,1
340,factor,1,1,1
341,factors,1,1,1
342,fall,1,1,1
343,familiarizing,1,1,1
344,fats,1,1,1
345,feature,1,1,1
346,features,1,1,1
347,fiber,2,2,2
348,fight,2,1,1
349,filets,3,1,1
350,filter,2,1,1
351,filter oil,1,2,1
352,fingertips vaporise,1,2,1
353,fire,13,7,6
354,fire blanket,4,2,1
355,fire brigade,1,2,1
356,fire department,3,2,1
357,fire extinguisher,2,2,1
358,fire extinguishers,1,2,1
359,fire point,1,2,1
360,fire smoke,1,2,1
361,fire smoking woods,1,3,1
362,fireball,1,1,1
363,fires,5,2,2
364,firm,2,1,1
365,fish,44,24,18
366,fish bay,1,2,1
367,fish brine,1,2,1
368,fish recipe,1,2,1
369,flame heat source,1,3,1
370,flames,2,2,2
371,flare ups,1,2,1
372,flavor,25,15,15
373,flavorings,1,1,1
374,flavors,6,5,5
375,flavoured,1,1,1
376,flavoured liquor,1,2,1
377,flavouring,1,1,1
378,flavoursome liquor,1,2,1
379,flour,2,2,2
380,food,128,29,29
381,food bits,1,2,1
382,food briefly,2,4,2
383,food cook,1,2,1
384,food residue,1,2,1
385,food substances,1,2,1
386,foods flavor,1,2,1
387,form,14,9,9
388,foundation,1,1,1
389,fowl,6,2,2
390,fowl hickory —,1,3,1
391,fowl pecan —,1,3,1
392,french,3,3,3
393,french clay pot,1,3,1
394,french term,1,2,1
395,french word,1,2,1
396,frenchman,1,1,1
397,frequent,1,1,1
398,fridge,1,1,1
399,fries,4,1,1
400,frisonne,1,1,1
401,fritters,1,1,1
402,fruit,1,1,1
403,fruit juices,1,2,1
404,fruits,3,3,3
405,fruitwoods,1,1,1
406,fry,2,1,1
407,fry ingredients,1,2,1
408,fry potatoes,1,2,1
409,fryer,15,2,2
410,frying,4,3,3
411,fuel,6,3,3
412,full salt brines,1,3,1
413,furnace duct,1,2,1
414,gallon,1,1,1
415,garlic,6,3,3
416,garnish,1,1,1
417,gas,3,3,3
418,gas flame,1,2,1
419,gas ovens,1,2,1
420,gas range,1,2,1
421,gas works,1,2,1
422,gauge,1,1,1
423,gelatin,1,1,1
424,general cooking advice,1,3,1
425,germs,1,1,1
426,glass,2,2,2
427,globe,1,1,1
428,glow,1,1,1
429,gold,2,1,1
430,good,1,1,1
431,grade,1,1,1
